[2024-10-30 13:22:39] IP_ALLOCATED: Client=CLIENT1, IP=192.168.1.100
[2024-10-30 13:22:47] LEASE_RENEWED: Client=CLIENT1, IP=192.168.1.100
[2024-10-30 13:24:19] IP_ALLOCATED: Client=CLIENT1, IP=192.168.1.100
[2024-10-30 13:24:21] LEASE_RENEWED: Client=CLIENT1, IP=192.168.1.100
[2024-10-30 13:25:04] IP_ALLOCATED: Client=CLIENT1, IP=192.168.1.100
[2024-10-30 13:25:06] LEASE_RENEWED: Client=CLIENT1, IP=192.168.1.100
[2024-10-30 13:27:21] IP_ALLOCATED_PRIORITY: Client=CLIENT1, IP=192.168.1.100
[2024-10-30 13:27:23] LEASE_RENEWED: Client=CLIENT1, IP=192.168.1.100
[2024-10-30 13:28:44] IP_ALLOCATED_PRIORITY: Client=CLIENT1, IP=192.168.1.100
[2024-10-30 13:29:06] IP_ALLOCATED_REGULAR: Client=CLIENT2, IP=192.168.1.105
[2024-10-30 13:29:21] IP_RELEASED: Client=CLIENT2, IP=192.168.1.105
